date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP
2011-12-15,44.9,28.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-01-05,46.4,26.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-01-06,46.1,28.8,1.1,1.4,0.6,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-01-15,42.7,28.0,1.4,1.4,0.4,0.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-01-20,46.3,27.8,1.1,1.4,0.6,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-02-07,44.6,27.4,1.2,1.4,0.6,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-02-09,46.2,23.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-02-17,45.6,25.6,1.1,1.4,0.6,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-02-28,42.0,28.2,1.2,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-03-01,46.3,24.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-03-07,45.1,26.1,1.2,1.4,0.6,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-04-09,41.3,28.9,1.2,1.5,0.7,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-04-11,42.0,24.9,-100,1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-04-12,38.1,23.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-04-17,40.6,29.6,1.7,1.2,0.3,0.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-05-08,41.1,28.8,1.0,1.6,0.7,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-05-10,37.2,25.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-05-11,39.9,27.1,-100,0.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-05-30,42.7,27.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-06-07,38.95,27.6,0.9,1.5,0.6,1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-06-14,39.1,29.2,1.2,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-06-15,39.2,24.4,-100,1.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-06-18,38.1,28.1,1.0,1.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-06-28,36.8,23.1,-100,1.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-05,37.0,23.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-06,40.6,29.4,1.1,1.6,0.7,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-10,36.900000000000006,28.799999999999997,1.3,1.05,0.7,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-19,35.8,29.6,1.1,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-26,30.0,24.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-27,34.2,29.5,1.3,1.7,0.6,1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-07-31,35.9,28.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-08-10,36.4,24.7,-100,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-09-06,30.9,24.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-09-07,34.0,29.9,1.2,1.6,0.8,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-09-12,31.1,24.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-09-13,34.7,26.0,-100,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-10-04,29.9,23.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-10-05,32.8,28.0,1.5,1.7,0.8,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-10-14,35.9,28.6,1.3,1.4,0.4,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-10-17,29.4,27.3,1.0,1.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-10-31,33.0,22.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-11-07,31.8,22.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-11-08,34.5,24.3,-100,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-11-09,33.6,28.3,1.9,1.7,0.8,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-11-29,31.3,22.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-12-10,33.6,23.0,-100,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-12-12,33.1,28.5,1.8,1.5,0.7,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2012-12-28,36.7,30.7,1.2,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-01-09,32.8,28.6,1.7,1.6,0.9,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-01-10,29.8,23.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-01-14,35.0,30.2,2.0,1.3,0.9,0.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-01-21,36.5,26.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-01-29,30.2,28.0,1.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-02-01,23.9,23.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-02-06,29.8,28.6,1.6,1.6,1.0,0.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-02-08,33.5,28.2,1.4,1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-02-28,24.3,23.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-03-06,29.4,27.8,2.0,1.5,1.1,0.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-03-08,31.2,21.5,-100,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-04-04,24.5,23.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-04-05,30.4,27.1,2.1,1.5,1.1,0.5,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-04-08,31.6,24.799999999999997,2.0,1.45,0.9,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-07,30.5,26.7,2.2,1.5,1.0,0.5,1.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-08,28.7,24.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-09,22.5,20.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-10,32.3,23.85,1.5,1.2999999999999998,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-18,28.6,25.1,2.7,1.1,0.8,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-23,32.6,25.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-05-30,34.1,25.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-03,39.7,25.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-06,24.5,21.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-07,30.9,26.5,2.1,1.6,0.9,0.6,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-11,31.9,21.2,-100,1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-18,30.3,22.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-06-28,28.1,25.5,2.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-04,23.0,21.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-05,31.7,27.0,2.2,1.6,0.9,0.7,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-09,25.8,24.2,-100,1.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-10,32.5,27.2,2.3,1.4,0.5,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-18,30.7,27.8,1.6,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-25,34.7,27.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-07-31,30.65,26.05,2.2,1.5,0.9,0.7,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-08-10,29.6,22.2,-100,1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-08-30,28.4,20.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-09-05,30.1,30.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-09-06,34.4,26.5,2.2,1.35,0.9,0.8,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-09-13,32.4,27.4,2.1,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-09-20,33.8,26.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-03,34.1,29.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-05,31.5,28.1,2.3,1.4,0.9,0.8,1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-07,27.5,21.6,-100,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-09,34.0,26.8,2.5,1.2,0.5,1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-10,33.2,25.8,2.6,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-11,35.0,26.9,2.2,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-14,28.3,34.8,2.2,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-10-31,32.5,21.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-04,27.1,22.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-07,31.8,28.2,2.4,1.4,0.9,0.9,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-13,30.9,21.7,-100,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-14,31.85,27.75,2.35,1.35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-28,31.85,26.75,2.5,-100,-100,-100,4.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-11-30,33.9,31.5,2.2,1.5,0.5,0.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-12-05,32.0,28.6,2.3,1.3,0.9,0.9,1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-12-10,30.7,22.8,-100,1.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2013-12-28,33.3,24.4,2.6,1.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-01-07,32.1,28.8,2.2,1.3,0.9,0.9,1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-01-09,32.0,33.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-01-10,28.1,22.0,-100,1.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-01-15,32.1,26.6,2.5,1.5,1.0,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-01-23,28.6,24.9,2.1,-100,-100,-100,4.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-02-06,31.200000000000003,30.2,2.1,1.2,0.8,0.9,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-02-10,29.6,20.3,-100,1.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-02-13,32.3,26.3,2.1,1.3,-100,-100,0.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-02-19,27.5,23.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-03-01,32.6,26.7,2.3,1.6,1.3,0.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-03-04,31.5,32.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-03-06,32.0,28.9,2.0,1.4,1.0,1.0,1.4,0.4,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-03-07,29.3,22.8,-100,1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-03-14,33.3,27.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-04-01,31.8,32.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-04-05,32.3,28.9,1.9,1.4,0.9,0.9,1.4,0.4,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-04-07,31.9,26.2,2.5,1.1,0.4,0.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-04-09,28.4,23.8,-100,1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2014-04-15,33.1,30.2,-100,-100,-100,-100,2.3,1.1,1.2,-100,-100,-100,-100,-100,-100,-100,-100
2014-05-08,33.65,28.05,2.1,1.35,0.8,0.8,2.0,0.5,1.8,-100,-100,-100,-100,-100,-100,-100,-100
2014-05-15,33.8,25.7,-100,-100,-100,-100,2.9,1.3,3.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-05-31,25.6,19.4,3.3,-100,-100,-100,3.5,-100,15.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-06-06,32.4,22.3,1.9,1.1,0.6,0.6,3.7,0.7,13.9,-100,-100,-100,-100,-100,-100,-100,-100
2014-06-11,34.6,21.9,-100,-100,-100,-100,-100,-100,16.3,-100,-100,-100,-100,-100,-100,-100,-100
2014-06-14,28.8,14.7,-100,1.6,-100,-100,-100,-100,26.7,-100,-100,-100,-100,-100,-100,-100,-100
2014-07-05,33.5,23.2,1.7,1.1,0.6,0.6,3.7,0.8,14.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-07-08,29.0,15.1,-100,1.6,-100,-100,-100,-100,27.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-07-09,30.0,21.2,3.3,1.0,0.3,0.5,0.9,-100,15.3,-100,-100,-100,-100,-100,-100,-100,-100
2014-07-24,33.05,27.9,1.8,1.1,0.6,0.7,3.7,0.7,12.2,-100,-100,-100,-100,-100,-100,-100,-100
2014-08-08,29.4,16.7,-100,0.8,-100,-100,-100,-100,28.4,-100,-100,-100,-100,-100,-100,-100,-100
2014-08-28,30.1,22.3,3.3,1.0,-100,-100,-100,-100,21.2,-100,-100,-100,-100,-100,-100,-100,-100
2014-08-30,33.9,23.4,2.2,1.3,1.0,0.6,2.6,0.8,15.0,-100,-100,-100,-100,-100,-100,-100,-100
2014-09-05,33.1,24.5,2.0,1.0,0.6,0.6,3.7,0.6,16.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-09-12,34.2,23.3,-100,-100,-100,-100,-100,-100,16.5,-100,-100,-100,-100,-100,-100,-100,-100
2014-09-30,30.2,30.9,-100,-100,-100,-100,-100,-100,13.8,-100,-100,-100,-100,-100,-100,-100,-100
2014-10-07,32.6,25.4,1.9,1.0,0.6,0.6,3.6,0.5,17.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-10-13,27.5,23.9,2.3,1.0,0.3,0.4,2.1,-100,22.5,-100,-100,-100,-100,-100,-100,-100,-100
2014-10-16,28.3,23.7,2.6,1.2,-100,-100,1.8,-100,24.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-10-25,29.5,23.9,-100,-100,-100,-100,-100,-100,19.0,-100,-100,-100,-100,-100,-100,-100,-100
2014-10-29,20.7,26.2,-100,-100,-100,-100,-100,-100,27.7,-100,-100,-100,-100,-100,-100,-100,-100
2014-11-06,26.9,19.5,-100,-100,-100,-100,5.6,-100,26.3,-100,-100,-100,-100,-100,-100,-100,-100
2014-11-07,30.5,24.5,2.2,1.0,0.6,0.6,4.0,0.5,21.6,-100,-100,-100,-100,-100,-100,-100,-100
2014-11-12,25.0,18.2,-100,0.7,-100,-100,-100,-100,31.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-11-19,26.3,20.1,2.8,1.1,-100,-100,2.5,-100,28.3,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-03,20.0,27.7,-100,-100,-100,-100,-100,-100,25.0,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-04,26.5,19.6,2.6,1.0,-100,-100,2.4,-100,29.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-05,29.9,24.1,2.1,1.0,0.6,0.6,3.9,0.5,21.7,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-10,23.1,19.3,-100,0.3,-100,-100,-100,-100,31.1,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-15,26.1,19.8,2.2,-100,-100,-100,3.8,-100,25.6,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-18,26.5,18.7,2.8,1.1,-100,-100,3.1,-100,28.7,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-19,25.5,22.0,-100,-100,-100,-100,3.1,-100,25.3,-100,-100,-100,-100,-100,-100,-100,-100
2014-12-30,28.6,23.4,2.0,1.3,-100,-100,2.8,-100,23.2,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-06,24.6,19.0,2.4,-100,-100,-100,5.0,-100,27.5,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-08,19.2,23.5,-100,-100,-100,-100,8.1,-100,28.2,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-09,31.1,23.8,2.0,1.0,0.5,0.6,4.5,0.5,20.9,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-12,27.3,22.2,1.6,0.7,0.5,0.5,3.1,-100,23.9,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-14,26.95,19.0,2.7,0.75,-100,-100,5.199999999999999,-100,28.5,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-16,29.3,19.2,1.8,1.3,-100,-100,6.3,-100,21.1,-100,-100,-100,-100,-100,-100,-100,-100
2015-01-29,27.1,21.4,2.4,-100,-100,-100,5.0,-100,26.3,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-04,20.9,18.3,-100,-100,-100,-100,12.2,-100,27.7,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-06,28.950000000000003,22.25,2.0,1.0,0.6,0.7,5.0,0.4,22.15,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-09,26.8,17.8,-100,1.0,-100,-100,8.5,-100,29.6,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-11,22.5,19.5,-100,-100,-100,-100,13.4,-100,24.6,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-12,29.6,20.1,2.4,1.2,-100,-100,7.3,-100,25.8,-100,-100,-100,-100,-100,-100,-100,-100
2015-02-26,25.5,19.9,2.2,1.3,-100,-100,10.1,-100,25.4,-100,-100,-100,-100,-100,-100,-100,-100
2015-03-04,18.6,20.2,-100,-100,-100,-100,18.4,-100,22.5,-100,-100,-100,-100,-100,-100,-100,-100
2015-03-06,30.9,26.4,1.9,1.0,0.7,0.8,11.7,0.5,12.2,-100,-100,-100,-100,-100,-100,-100,-100
2015-03-09,22.0,19.1,-100,-100,-100,-100,18.8,-100,23.4,-100,-100,-100,-100,-100,-100,-100,-100
